Tabel 1 Nitrogenase activity collected from literature,,,,,
Species,Original activity,Original unit,Transformed activity,Transformed unit,Literature
Rhizobium daejeonense,2.7±0.2,nmol C2H4 h−1 10−6 cells,2.7,nmol/h/10*6cells,"Habibi, S., Djedidi, S., Ohkama-Ohtsu, N., Sarhadi, W. A., Kojima, K., Rallos, R. V., ... & Yokoyama, T. (2019). Isolation and screening of indigenous plant growth-promoting rhizobacteria from different rice cultivars in Afghanistan soils. Microbes and environments, 34(4), 347-355."
Rhizobium daejeonense,629.1±23.8,nmol C2H4 h−1 10−6 cells,629.1,nmol/h/10*6cells,"Habibi, S., Djedidi, S., Ohkama-Ohtsu, N., Sarhadi, W. A., Kojima, K., Rallos, R. V., ... & Yokoyama, T. (2019). Isolation and screening of indigenous plant growth-promoting rhizobacteria from different rice cultivars in Afghanistan soils. Microbes and environments, 34(4), 347-355."
Rhizobium daejeonense,363.3±11.4,nmol C2H4 h−1 10−6 cells,363.3,nmol/h/10*6cells,"Habibi, S., Djedidi, S., Ohkama-Ohtsu, N., Sarhadi, W. A., Kojima, K., Rallos, R. V., ... & Yokoyama, T. (2019). Isolation and screening of indigenous plant growth-promoting rhizobacteria from different rice cultivars in Afghanistan soils. Microbes and environments, 34(4), 347-355."
Rhizobium daejeonense,96.3±6.5,nmol C2H4 h−1 10−6 cells,96.3,nmol/h/10*6cells,"Habibi, S., Djedidi, S., Ohkama-Ohtsu, N., Sarhadi, W. A., Kojima, K., Rallos, R. V., ... & Yokoyama, T. (2019). Isolation and screening of indigenous plant growth-promoting rhizobacteria from different rice cultivars in Afghanistan soils. Microbes and environments, 34(4), 347-355."
Rhizobium daejeonense,345.2±14.4,nmol C2H4 h−1 10−6 cells,345.2,nmol/h/10*6cells,"Habibi, S., Djedidi, S., Ohkama-Ohtsu, N., Sarhadi, W. A., Kojima, K., Rallos, R. V., ... & Yokoyama, T. (2019). Isolation and screening of indigenous plant growth-promoting rhizobacteria from different rice cultivars in Afghanistan soils. Microbes and environments, 34(4), 347-355."
Rhizobium daejeonense,218.3±23.5,nmol C2H4 h−1 10−6 cells,218.3,nmol/h/10*6cells,"Habibi, S., Djedidi, S., Ohkama-Ohtsu, N., Sarhadi, W. A., Kojima, K., Rallos, R. V., ... & Yokoyama, T. (2019). Isolation and screening of indigenous plant growth-promoting rhizobacteria from different rice cultivars in Afghanistan soils. Microbes and environments, 34(4), 347-355."
"Rhizobium daejeonense
ACO-34A",627.4,nmol C2H4 per culture h−1,627.4,nmol/tube/h,"La Torre-Ruiz, D., Ruiz-Valdiviezo, V. M., Rincón-Molina, C. I., Rodríguez-Mendiola, M., Arias-Castro, C., Gutiérrez-Miceli, F. A., ... & Rincón-Rosales, R. (2016). Effect of plant growth-promoting bacteria on the growth and fructan production of Agave americana L. brazilian journal of microbiology, 47, 587-596."
Rhizobium etli,2.41,μmol h−1 plant−1,2410,nmol C2H4 per hour,"Chihaoui, S. A., Mhadhbi, H., & Mhamdi, R. (2012). The antibiosis of nodule-endophytic agrobacteria and its potential effect on nodule functioning of Phaseolus vulgaris. Archives of microbiology, 194, 1013-1021."
Rhizobium etli CFN 42,16.7,µmol C2H4/plant/h,16700,nmol/plant/h,"Beyene, D., Kassa, S., Ampy, F., Asseffa, A., Gebremedhin, T., & Van Berkum, P. (2004). Ethiopian soils harbor natural populations of rhizobia that form symbioses with common bean (Phaseolus vulgaris L.). Archives of microbiology, 181, 129-136."
Rhizobium giardinii P1,537.6,ηmole C2H4 h-1 mg-1 protein,537.6,nmol/mg/h,"Debnath, S., Das, A., Maheshwari, D. K., & Pandey, P. (2023). Treatment with atypical rhizobia, pararhizobium giardinii and ochrobactrum sp. modulate the rhizospheric bacterial community, and enhances lens culinaris growth in fallow-soil. Microbiological Research, 267, 127255."
Rhizobium leguminosarum ATCC 14480 AY509900,72,nmol/mg/h,72,nmol/mg/h,"Cibichakravarthy, B., Preetha, R., Sundaram, S. P., Kumar, K., & Balachandar, D. (2012). Diazotrophic diversity in the rhizosphere of two exotic weed plants, Prosopis juliflora and Parthenium hysterophorus. World Journal of Microbiology and Biotechnology, 28, 605-613."
Rhizobium leguminosarum bv viciae Rlv13,51.6,umol C2H4 g protein h−1,51.6,nmol/mg/h,"Sotelo, M., Ureta, A. C., Muñoz, S., Sanjuán, J., Monza, J., & Palacios, J. (2021). Introduction of H2-Uptake Hydrogenase Genes Into Rhizobial Strains Improves Symbiotic Nitrogen Fixation in Vicia sativa and Lotus corniculatus Forage Legumes. Frontiers in Agronomy, 3, 661534."
Rhizobium leguminosarum bv viciae Rlv21,37.9,umol C2H4 g protein h−1,37.9,nmol/mg/h,"Sotelo, M., Ureta, A. C., Muñoz, S., Sanjuán, J., Monza, J., & Palacios, J. (2021). Introduction of H2-Uptake Hydrogenase Genes Into Rhizobial Strains Improves Symbiotic Nitrogen Fixation in Vicia sativa and Lotus corniculatus Forage Legumes. Frontiers in Agronomy, 3, 661534."
Rhizobium leguminosarum bv. trifolii,228 ± 18.47,nmol h−1 g−1 nodule dry weight,228,nmol/g nodule/h,"Hafeez, F. Y., Naeem, F. I., Naeem, R., Zaidi, A. H., & Malik, K. A. (2005). Symbiotic effectiveness and bacteriocin production by Rhizobium leguminosarum bv. viciae isolated from agriculture soils in Faisalabad. Environmental and experimental botany, 54(2), 142-147."
Rhizobium leguminosarum bv. trifolii,248 ± 32.04,nmol h−1 g−1 nodule dry weight,248,nmol/g nodule/h,"Hafeez, F. Y., Naeem, F. I., Naeem, R., Zaidi, A. H., & Malik, K. A. (2005). Symbiotic effectiveness and bacteriocin production by Rhizobium leguminosarum bv. viciae isolated from agriculture soils in Faisalabad. Environmental and experimental botany, 54(2), 142-147."
Rhizobium leguminosarum bv. viciae,224 ± 10,nmol h−1 g−1 nodule dry weight,224,nmol/g nodule/h,"Hafeez, F. Y., Naeem, F. I., Naeem, R., Zaidi, A. H., & Malik, K. A. (2005). Symbiotic effectiveness and bacteriocin production by Rhizobium leguminosarum bv. viciae isolated from agriculture soils in Faisalabad. Environmental and experimental botany, 54(2), 142-147."
Rhizobium leguminosarum bv. viciae,182 ± 9.5,nmol h−1 g−1 nodule dry weight,182,nmol/g nodule/h,"Hafeez, F. Y., Naeem, F. I., Naeem, R., Zaidi, A. H., & Malik, K. A. (2005). Symbiotic effectiveness and bacteriocin production by Rhizobium leguminosarum bv. viciae isolated from agriculture soils in Faisalabad. Environmental and experimental botany, 54(2), 142-147."
Rhizobium leguminosarum bv. viciae,182 ± 9.5,nmol h−1 g−1 nodule dry weight,182,nmol/g nodule/h,"Hafeez, F. Y., Naeem, F. I., Naeem, R., Zaidi, A. H., & Malik, K. A. (2005). Symbiotic effectiveness and bacteriocin production by Rhizobium leguminosarum bv. viciae isolated from agriculture soils in Faisalabad. Environmental and experimental botany, 54(2), 142-147."
Rhizobium leguminosarum bv. viciae,149 ± 3.51,nmol h−1 g−1 nodule dry weight,149,nmol/g nodule/h,"Hafeez, F. Y., Naeem, F. I., Naeem, R., Zaidi, A. H., & Malik, K. A. (2005). Symbiotic effectiveness and bacteriocin production by Rhizobium leguminosarum bv. viciae isolated from agriculture soils in Faisalabad. Environmental and experimental botany, 54(2), 142-147."
Rhizobium leguminosarum bv. viciae,143 ± 7.63,nmol h−1 g−1 nodule dry weight,143,nmol/g nodule/h,"Hafeez, F. Y., Naeem, F. I., Naeem, R., Zaidi, A. H., & Malik, K. A. (2005). Symbiotic effectiveness and bacteriocin production by Rhizobium leguminosarum bv. viciae isolated from agriculture soils in Faisalabad. Environmental and experimental botany, 54(2), 142-147."
Rhizobium leguminosarum bv. viciae CP025509.1,800,mmol C2H4. h-1. g-1,800,nmol/g nodule/h,"Sujkowska-Rybkowska, M., Kasowska, D., Gediga, K., Banasiewicz, J., & Stępkowski, T. (2020). Lotus corniculatus-rhizobia symbiosis under Ni, Co and Cr stress on ultramafic soil. Plant and Soil, 451, 459-484."
Rhizobium leguminosarum bv. viciae UPM791,810,mmol C2H4. h-1. g-1,810,nmol/g nodule/h,"Sujkowska-Rybkowska, M., Kasowska, D., Gediga, K., Banasiewicz, J., & Stępkowski, T. (2020). Lotus corniculatus-rhizobia symbiosis under Ni, Co and Cr stress on ultramafic soil. Plant and Soil, 451, 459-484."
"Rhizobium leguminosarum bv. viciae
UPM791",23.6±6.2,"r µmol C2H4 produced h–1 (g nodule fresh
weight)–1",23600,nmol/g nodule/h,"Toffanin, A., Cadahia, E., Imperial, J., Ruiz-Argüeso, T., & Palacios, J. (2002). Characterization of the urease gene cluster from Rhizobium leguminosarum bv. viciae. Archives of microbiology, 177, 290-298."
Rhizobium lusitanum,119.8,μmol C2H4–1 h–1 g–1,119800,nmol/g nodule/h,"Yuan, K., Reckling, M., Ramirez, M. D. A., Djedidi, S., Fukuhara, I., Ohyama, T., ... & Ohkama-Ohtsu, N. (2020). Characterization of rhizobia for the improvement of soybean cultivation at cold conditions in central Europe. Microbes and environments, 35(1), ME19124."
Rhizobium lusitanum,0.7 ± 0.02,nmol C2H4/mL,0.029167,nmol/mL/h,"Puri, A., Padda, K. P., & Chanway, C. P. (2018). Evidence of endophytic diazotrophic bacteria in lodgepole pine and hybrid white spruce trees growing in soils with different nutrient statuses in the West Chilcotin region of British Columbia, Canada. Forest Ecology and Management, 430, 558-565."
Rhizobium massiliae,12.3,nmole C2H4/tube/24 h,0.5125,nmol/tube/h,"Ouyabe, M., Kikuno, H., Tanaka, N., Babil, P., & Shiwachi, H. (2019). Isolation and identification of nitrogen-fixing bacteria associated with Dioscorea alata L. and Dioscorea esculenta L. Microb Resour Syst, 35, 3-11."
Rhizobium mesosinicum CCBAU 25010 (NR_043548),26.28 ± 0.12,nmole C2H4 produced mg−1 dry bacteria h−1,26.28,nmol/mg/h,"Banik, A., Mukhopadhaya, S. K., & Dangar, T. K. (2016). Characterization of N 2-fixing plant growth promoting endophytic and epiphytic bacterial community of Indian cultivated and wild rice (Oryza spp.) genotypes. Planta, 243, 799-812."
Rhizobium multihospitium,4.1,nmole C2H4/tube/24 h,0.1708,nmol/tube/h,"Ouyabe, M., Kikuno, H., Tanaka, N., Babil, P., & Shiwachi, H. (2019). Isolation and identification of nitrogen-fixing bacteria associated with Dioscorea alata L. and Dioscorea esculenta L. Microb Resour Syst, 35, 3-11."
Rhizobium multihospitium,12.3,nmole C2H4/tube/24 h,0.5125,nmol/tube/h,"Ouyabe, M., Kikuno, H., Tanaka, N., Babil, P., & Shiwachi, H. (2019). Isolation and identification of nitrogen-fixing bacteria associated with Dioscorea alata L. and Dioscorea esculenta L. Microb Resour Syst, 35, 3-11."
Rhizobium nepotum,328,nmol C2H4 per culture h-1,328,nmol/tube/h,"RINCON-MOLINA, C. I., RINCON-MOLINA, F. A., Zenteno-Rojas, A., RUIZ-VALDIVIEZO, V. M., CULEBRO-RICALDI, J. M., & ROSALES, R. R. (2021). BACTERIAL DIVERSITY WITH PLANT GROWTH-PROMOTING POTENTIAL ISOLATED FROM Agave americana RHIZOSPHERE. Agro Productividad."
Rhizobium pisi,0.2±0.03,μmol C2H4–1 h–1 g–1 per plant,0.2±0.03,μmol C2H4–1 h–1 g–1 per plant,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Rhizobium pisi,5.9±5.0,μmol C2H4–1 h–1 g–1 of nodules dry weight,5900,nmol/g nodule/h,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Rhizobium pusense,50.7,μmol/vial.h,50700,nmol/tube/h,"Bergottini, V. M., Otegui, M. B., Sosa, D. A., Zapata, P. D., Mulot, M., Rebord, M., ... & Junier, P. (2015). Bio-inoculation of yerba mate seedlings (Ilex paraguariensis St. Hill.) with native plant growth-promoting rhizobacteria: a sustainable alternative to improve crop yield. Biology and Fertility of Soils, 51, 749-755."
Rhizobium pusense,0,μmol/vial.h,0,nmol/tube/h,"Bergottini, V. M., Otegui, M. B., Sosa, D. A., Zapata, P. D., Mulot, M., Rebord, M., ... & Junier, P. (2015). Bio-inoculation of yerba mate seedlings (Ilex paraguariensis St. Hill.) with native plant growth-promoting rhizobacteria: a sustainable alternative to improve crop yield. Biology and Fertility of Soils, 51, 749-755."
Rhizobium pusense,0.1±0.1,μmol C2H4–1 h–1 g–1 per plant,0.1±0.1,μmol C2H4–1 h–1 g–1 per plant,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Rhizobium pusense,0.2±0.03,μmol C2H4–1 h–1 g–1 per plant,0.2±0.03,μmol C2H4–1 h–1 g–1 per plant,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Rhizobium pusense,0,μmol C2H4–1 h–1 g–1 per plant,0,μmol C2H4–1 h–1 g–1 per plant,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Rhizobium pusense,0.6±0.1,μmol C2H4–1 h–1 g–1 per plant,0.6±0.1,μmol C2H4–1 h–1 g–1 per plant,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Rhizobium pusense,0.7±0.1,μmol C2H4–1 h–1 g–1 per plant,0.7±0.1,μmol C2H4–1 h–1 g–1 per plant,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Rhizobium pusense,2.9±9.0,μmol C2H4–1 h–1 g–1 of nodules dry weight,2900,nmol/g nodule/h,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Rhizobium pusense,5.4±7.0,μmol C2H4–1 h–1 g–1 of nodules dry weight,5400,nmol/g nodule/h,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Rhizobium pusense,0,μmol C2H4–1 h–1 g–1 of nodules dry weight,0,nmol/g nodule/h,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Rhizobium pusense,12.5±0.7,μmol C2H4–1 h–1 g–1 of nodules dry weight,12500,nmol/g nodule/h,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Rhizobium pusense,36.1±0.4,μmol C2H4–1 h–1 g–1 of nodules dry weight,36100,nmol/g nodule/h,"Ramírez, M. D. A., España, M., Lewandowska, S., Yuan, K., Okazaki, S., Ohkama-Ohtsu, N., & Yokoyama, T. (2020). Phylogenetic analysis of symbiotic bacteria associated with two Vigna species under different agro-ecological conditions in Venezuela. Microbes and environments, 35(1), ME19120."
Rhizobium pusense,48,nM C2H4/vial/3 days,0.6667,nmol/tube/h,"Bostubayeva, M., Baimbetova, E., Makenova, M., Shumenova, N., Sarmanova, R., & Nauanova, A. (2023). Screening and evaluation of potential microbial bio-activators used in sewage sludge composting. Caspian Journal of Environmental Sciences, 21(3), 575-583."
Rhizobium pusense NRCPB10 (NR_116874),105.93 ± 0.35,nmole C2H4 produced mg−1 dry bacteria h−1,105.93,nmol/mg/h,"Banik, A., Mukhopadhaya, S. K., & Dangar, T. K. (2016). Characterization of N 2-fixing plant growth promoting endophytic and epiphytic bacterial community of Indian cultivated and wild rice (Oryza spp.) genotypes. Planta, 243, 799-812."
Rhizobium pusense TMV 2-6,271 ± 86,pmol C2H4. h-1. mg-1,0.271,nmol/mg/h,"Krishnamoorthy, R., Anandham, R., Indiragandhi, P., Vaidyanathan, R., Mothilal, A., Karunakaran, V., ... & Senthilkumar, M. (2020). Characterization of phyllosphere methylotrophic bacteria isolated from the groundnut and their impact on growth, yield and quality of the kernel. Journal of Environmental Biology, 41(3), 600-606."
Rhizobium radiobacter,476,nmol C2H4 per culture h-1,476,nmol/tube/h,"RINCON-MOLINA, C. I., RINCON-MOLINA, F. A., Zenteno-Rojas, A., RUIZ-VALDIVIEZO, V. M., CULEBRO-RICALDI, J. M., & ROSALES, R. R. (2021). BACTERIAL DIVERSITY WITH PLANT GROWTH-PROMOTING POTENTIAL ISOLATED FROM Agave americana RHIZOSPHERE. Agro Productividad."
Rhizobium radiobacter,3.80 ± 0.00,nmol mg–1 protein h–1,3.8,nmol/mg/h,"Poonguzhali, S., Madhaiyan, M., & Sa, T. (2006). Cultivation-dependent characterization of rhizobacterial communities from field grown Chinese cabbage Brassica campestris ssp pekinensis and screening of traits for potential plant growth promotion. Plant and soil, 286, 167-180."
Rhizobium radiobacter 2/7,0.18 ± 0.05,"nmol C2H4, 107 cfu h–1",0.018,nmol/h/10*6cells,"Çakmakçı, R. (2016). Screening of multi-trait rhizobacteria for improving the growth, enzyme activities, and nutrient uptake of tea (Camellia sinensis). Communications in Soil Science and Plant Analysis, 47(13-14), 1680-1690."
Rhizobium rosettiformans,1.1 ± 0.28,nmol C2H4/mL,0.045833,nmol/mL/h,"Puri, A., Padda, K. P., & Chanway, C. P. (2018). Evidence of endophytic diazotrophic bacteria in lodgepole pine and hybrid white spruce trees growing in soils with different nutrient statuses in the West Chilcotin region of British Columbia, Canada. Forest Ecology and Management, 430, 558-565."
